Oxidized X GFP2	Oxidized Y GFP 2	Reduced X GFP2	Reduced Y GFP2	Oxidized X GFP 1	Oxidized Y GFP 1	Reduced X GFP 1	Reduced Y GFP 1
350.873741	8.099240824	351.338668	2.022310599	326.2390671	0.086414254	326.2390671	0.058351893
352.3923486	8.349201568	352.5538617	2.019746899	328.5714286	0.091759465	327.638484	0.062360802
353.758288	9.10581351	354.2243686	2.26938718	330.2040816	0.097104677	328.5714286	0.062360802
355.4284103	9.608619159	355.7433608	2.266182555	332.0699708	0.102449889	329.5043732	0.063697105
357.0977635	10.61775554	357.5653824	2.768667741	333.9358601	0.109131403	329.9708455	0.065033408
358.7671167	11.62689193	359.0843746	2.765463116	335.5685131	0.118485523	331.1370262	0.067706013
360.5883691	12.63570785	361.0586799	3.014462472	336.7346939	0.126503341	331.8367347	0.069042316
362.5619053	13.39103795	362.7291868	3.264102753	338.1341108	0.137193764	332.7696793	0.070378619
364.230874	14.6533397	364.2477944	3.514063496	339.3002915	0.145211581	333.4693878	0.073051225
365.7487125	15.40963118	366.373999	3.76274239	340.9329446	0.157238307	334.4023324	0.074387528
366.8104689	16.42004942	368.1964051	4.012062208	342.0991254	0.166592428	335.8017493	0.078396437
368.024509	17.17698182	370.3226096	4.260741102	343.03207	0.177282851	336.5014577	0.081069042
369.3900637	18.18675913	372.2965304	4.762905826	343.9650146	0.187973274	336.7346939	0.082405345
370.9071332	19.44938135	373.9666527	5.265711475	345.3644315	0.202672606	338.1341108	0.086414254
372.4242026	20.71200356	376.3962711	5.766914811	346.0641399	0.213363029	338.6005831	0.08908686
373.7897574	21.72178087	378.066778	6.016555092	346.9970845	0.224053452	339.3002915	0.090423163
375.6102407	23.23692753	379.888415	6.772205647	347.9300292	0.236080178	340	0.093095768
377.1273101	24.49954975	382.0142349	7.274049909	348.8629738	0.248106904	340.2332362	0.094432071
378.4928649	25.50932706	383.9881557	7.776214633	349.7959184	0.261469933	340.4664723	0.095768374
380.0091652	27.27828001	385.9616919	8.531544725	350.2623907	0.273496659	340.6997085	0.097104677
380.9178687	29.04851482	388.2394111	9.033068524	351.4285714	0.284187082	341.3994169	0.102449889
382.2834234	30.05829213	390.2129473	9.788398617	351.6618076	0.293541203	341.8658892	0.106458797
383.6482091	31.57440017	392.3383828	10.54340825	352.361516	0.304231626	342.3323615	0.110467706
384.8614801	32.83766332	394.4645873	10.79208714	353.2944606	0.320267261	343.03207	0.115812918
386.2270349	33.84744063	396.5900227	11.54709677	353.9941691	0.33363029	343.7317784	0.119821826
387.7444888	34.85689747	399.0196411	12.04830011	354.4606414	0.346993318	343.9650146	0.125167038
389.1100436	35.86667479	401.2973604	12.54982391	355.1603499	0.36169265	344.664723	0.130512249
390.6274976	36.87613163	403.8792626	12.79754141	356.3265306	0.376391982	345.3644315	0.134521158
392.2968508	37.88526802	405.8535679	13.04654077	357.0262391	0.391091314	345.8309038	0.138530067
393.5108909	38.64220042	407.6755894	13.54902595	357.7259475	0.405790646	346.2973761	0.142538976
394.8772148	39.145647	409.497611	14.05151114	358.1924198	0.423162584	346.7638484	0.146547884
396.2431541	39.90225894	411.320017	14.30083096	359.5918367	0.440534521	347.2303207	0.150556793
397.9140456	39.89873385	412.9897548	15.05680198	360.058309	0.45389755	347.696793	0.154565702
399.88912	39.64140247	415.1151902	15.81181161	360.7580175	0.465924276	348.3965015	0.159910913
401.560396	39.38471202	416.9368272	16.56746216	361.4577259	0.480623608	349.0962099	0.166592428
403.2320565	38.87485619	418.7584642	17.32311272	362.1574344	0.493986637	349.5626822	0.169265033
404.7522024	38.11215546	420.5793321	18.58509401	363.090379	0.510022272	350.0291545	0.173273942
406.4238629	37.60229964	422.4009691	19.34074456	363.5568513	0.523385301	350.728863	0.178619154
407.4886957	36.58739493	424.2214524	20.85589122	364.2565598	0.539420935	350.9620991	0.182628062
409.0092261	35.57152883	426.1942195	22.11755205	365.1895044	0.556792873	351.4285714	0.186636971
410.0744434	34.30345875	428.3188858	23.37889242	365.8892128	0.570155902	352.1282799	0.193318486
411.5945893	33.54075802	429.6844406	24.38866973	366.3556851	0.582182628	352.5947522	0.2
413.1151197	32.52489192	431.6556695	26.66299203	367.2886297	0.59688196	353.0612245	0.205345212
414.4837509	31.50934629	433.1719698	28.43194498	367.755102	0.611581292	353.5276968	0.20935412
416.1561806	30.49315973	435.1428141	30.95943265	368.9212828	0.626280624	353.7609329	0.214699332
417.9805095	29.47665271	436.5068307	32.98187144	369.8542274	0.63830735	354.4606414	0.220044543
419.5010399	28.46078661	437.8708472	35.00431022	370.0874636	0.653006682	354.9271137	0.228062361
421.1738541	27.19143468	439.0833491	36.7739041	371.0204082	0.665033408	355.6268222	0.236080178
423.302366	25.92112136	440.5981112	39.55551852	371.9533528	0.675723831	355.8600583	0.240089087
424.9755647	24.39860407	441.5064301	41.5789187	372.4198251	0.687750557	356.3265306	0.244097996
426.9521774	23.12861121	442.4139799	44.1086496	373.3527697	0.703786192	357.0262391	0.253452116
428.6257607	21.35292855	443.9298956	46.13076792	374.0524781	0.71714922	357.4927114	0.26013363
429.8424927	20.33770337	444.9893446	48.66017837	375.451895	0.729175947	357.9591837	0.265478842
431.3634077	19.06867191	445.8961253	51.69624001	376.1516035	0.742538976	358.1924198	0.270824053
433.1877365	18.05216488	446.6529295	53.46679528	377.0845481	0.755902004	358.6588921	0.276169265
434.8601662	17.03597832	447.7119939	56.24937109	377.7842566	0.767928731	359.1253644	0.28285078
436.6844951	16.0194713	448.6191592	59.03226737	379.1836735	0.777282851	359.8250729	0.289532294
438.3561556	15.50961548	449.3744252	61.81548411	380.1166181	0.79064588	360.058309	0.293541203
440.3308455	15.50544946	450.1300757	64.34553548	381.516035	0.801336303	360.5247813	0.298886414
442.6093338	15.50064253	450.7334425	67.12907268	383.148688	0.813363029	360.9912536	0.304231626
444.4313553	16.00312771	451.4883239	70.16545478	384.3148688	0.822717149	361.4577259	0.309576837
446.5567908	16.75813734	452.2428208	73.45500226	385.7142857	0.837416481	361.9241983	0.316258352
448.3784277	17.5137879	452.9988559	75.73188826	387.3469388	0.848106904	362.1574344	0.321603563
450.3504257	19.28177946	453.7533528	79.02143574	389.212828	0.854788419	362.6239067	0.329621381
451.8667261	21.05073242	454.5074652	82.56414858	391.5451895	0.864142539	363.090379	0.336302895
452.9273287	22.82064676	455.2623466	85.60053069	394.3440233	0.866815145	363.5568513	0.344320713
454.4440136	24.33643434	456.0168435	88.89007816	397.3760933	0.861469933	363.7900875	0.349665924
455.6553618	26.86552432	456.9232396	92.17930517	398.7755102	0.852115813	364.4897959	0.356347439
457.4739224	29.64649783	458.2857179	95.21440543	399.941691	0.837416481	364.9562682	0.364365256
459.4447667	32.1739855	459.3455515	97.49065051	401.3411079	0.826726058	365.1895044	0.369710468
461.1137353	33.43628725	460.5572843	99.76657512	402.2740525	0.814699332	365.4227405	0.375055679
462.3262372	35.20588113	461.7686325	102.2956651	403.4402332	0.802672606	366.122449	0.3844098
463.995975	35.96185215	462.8273124	105.3314063	404.1399417	0.79064588	366.3556851	0.389755011
465.5118908	37.98397047	464.0386606	107.8604963	405.0728863	0.778619154	366.8221574	0.395100223
467.1800903	39.75260296	464.9465949	110.1370618	406.2390671	0.763919822	367.5218659	0.401781737
468.5444914	41.52187637	465.8549138	112.160462	406.9387755	0.753229399	367.755102	0.409799555
469.7577624	42.78513951	466.7624636	114.6901929	408.1049563	0.73986637	368.4548105	0.417817372
471.4267311	44.04744127	467.9745809	116.7129521	409.271137	0.722494432	368.6880466	0.423162584
473.3991136	45.56226746	469.6427805	118.4815846	409.9708455	0.709131403	369.154519	0.429844098
475.2195969	47.07741412	471.0064125	120.7571888	410.9037901	0.691759465	369.6209913	0.43518931
477.1919795	48.59224032	472.3711981	122.2732968	411.8367347	0.678396437	370.0874636	0.440534521
478.7094335	49.60169717	473.7363683	123.5362395	412.303207	0.66636971	370.5539359	0.447216036
480.2265029	50.86431939	475.0996158	126.065009	413.2361516	0.65701559	371.0204082	0.451224944
481.590904	52.6335928	476.9189454	128.3396518	413.4693878	0.644988864	371.4868805	0.457906459
482.8034059	54.40318668	478.2821929	130.8684213	413.9358601	0.634298441	371.9533528	0.46325167
484.3189371	56.67847037	479.3408727	133.9041625	414.6355685	0.619599109	372.4198251	0.468596882
485.9875212	58.19393749	480.3995526	136.9399037	415.5685131	0.60623608	372.8862974	0.473942094
488.2625485	60.46761887	481.1548186	139.7231204	416.0349854	0.594209354	373.3527697	0.477951002
489.4742813	62.74354348	481.9100846	142.5063371	416.5014577	0.580846325	373.819242	0.481959911
490.3833693	64.26061292	482.8168653	145.5423988	417.4344023	0.566146993	374.2857143	0.48596882
491.1405581	65.77800281	483.5717467	148.5787809	418.1341108	0.554120267	374.7521866	0.492650334
492.049646	67.29507225	484.7827104	151.3610362	418.6005831	0.544766147	375.451895	0.497995546
493.2640707	67.79883928	486.2993953	152.8768238	418.8338192	0.531403118	375.6851312	0.503340757
494.7822938	68.3019654	488.5748072	154.8973398	419.5335277	0.520712695	376.3848397	0.508685969
496.1493868	68.29908123	489.7850017	158.1859259	420	0.510022272	377.0845481	0.51403118
497.9706392	69.30789716	491.6062541	159.1947419	420.6997085	0.49532294	377.5510204	0.522048998
499.7918917	70.31671308	492.9764236	157.1665347	421.1661808	0.484632517	378.2507289	0.526057906
501.4608603	71.57901483	493.7401498	154.3801134	421.6326531	0.473942094	378.483965	0.530066815
503.1329054	70.81599364	494.3538995	150.3281856	421.6326531	0.459242762	379.1836735	0.534075724
504.5026903	69.0409519	495.119164	146.5291028	422.3323615	0.448552339	379.8833819	0.539420935
		495.8855821	141.9705239	423.03207	0.43518931	380.3498542	0.543429844
		496.4997164	137.6654307	423.4985423	0.420489978	380.8163265	0.547438753
		497.4164955	134.1191928	423.9650146	0.408463252	381.516035	0.551447661
		497.8775769	130.5739163	424.8979592	0.39376392	382.2157434	0.556792873
		498.6413031	127.7874949	425.5976676	0.377728285	382.6822157	0.560801782
		499.4065676	123.9884121	425.8309038	0.368374165	383.3819242	0.56481069
		500.3237312	120.1890088	426.2973761	0.355011136	383.8483965	0.568819599
		501.0889956	116.3899259	426.9970845	0.34298441	384.548105	0.575501114
		501.70313	112.0848328	427.696793	0.329621381	385.7142857	0.579510022
		502.4680098	108.5389154	428.1632653	0.314922049	386.4139942	0.582182628
		502.9294758	104.7404735	428.3965015	0.300222717	387.3469388	0.584855234
		503.3909418	100.9420315	429.0962099	0.284187082	388.2798834	0.588864143
		503.7012777	96.63757935	429.5626822	0.272160356	389.4460641	0.592873051
		504.4665421	92.83849652	429.5626822	0.257461024	390.3790087	0.59688196
		504.9253162	90.81221218	430.2623907	0.240089087	391.7784257	0.602227171
				431.1953353	0.225389755	392.9446064	0.604899777
				431.8950437	0.214699332	394.3440233	0.60623608
				432.361516	0.204008909	394.5772595	0.604899777
				432.8279883	0.191982183	396.6763848	0.604899777
				433.2944606	0.179955457	397.6093294	0.60623608
				433.7609329	0.166592428	398.5422741	0.607572383
				434.6938776	0.155902004	399.7084548	0.602227171
				435.6268222	0.145211581	400.8746356	0.598218263
				436.7930029	0.130512249	401.3411079	0.595545657
				437.4927114	0.121158129	402.0408163	0.591536748
				438.1924198	0.109131403	403.4402332	0.586191537
				439.5918367	0.099777283	403.9067055	0.582182628
				440.9912536	0.091759465	404.3731778	0.576837416
				442.6239067	0.086414254	405.3061224	0.571492205
				444.4897959	0.079732739	406.2390671	0.566146993
				446.5889213	0.078396437	406.7055394	0.563474388
				449.6209913	0.079732739	407.638484	0.558129176
				451.2536443	0.079732739	408.3381924	0.554120267
				453.5860058	0.079732739	409.271137	0.54610245
				455.6851312	0.082405345	409.7376093	0.542093541
				457.7842566	0.085077951	410.6705539	0.535412027
				460.3498542	0.087750557	411.3702624	0.528730512
				462.6822157	0.090423163	411.6034985	0.524721604
				464.548105	0.091759465	411.6034985	0.524721604
				466.6472303	0.094432071	412.303207	0.518040089
				468.7463557	0.09844098	412.7696793	0.511358575
				471.3119534	0.099777283	413.4693878	0.502004454
				472.7113703	0.101113586	413.7026239	0.49532294
				475.0437318	0.101113586	414.4023324	0.491314031
				478.0758017	0.099777283	415.1020408	0.483296214
				481.3411079	0.09844098	415.5685131	0.476614699
				483.4402332	0.095768374	416.0349854	0.471269488
				485.5393586	0.091759465	417.2011662	0.46325167
				487.638484	0.087750557	417.6676385	0.459242762
				489.5043732	0.081069042	418.1341108	0.452561247
				492.0699708	0.074387528	419.3002915	0.443207127
				493.7026239	0.067706013	419.7667638	0.437861915
				495.335277	0.062360802	420	0.433853007
				497.4344023	0.05701559	420.6997085	0.428507795
				498.6005831	0.051670379	421.3994169	0.421826281
				500.2332362	0.046325167	421.8658892	0.415144766
						422.3323615	0.409799555
						423.03207	0.40311804
						423.4985423	0.396436526
						423.9650146	0.387082405
						424.664723	0.377728285
						425.1311953	0.371046771
						425.3644315	0.368374165
						425.8309038	0.36169265
						426.0641399	0.353674833
						426.2973761	0.348329621
						426.9970845	0.340311804
						426.9970845	0.334966592
						427.4635569	0.328285078
						427.696793	0.320267261
						427.9300292	0.314922049
						428.1632653	0.309576837
						428.3965015	0.306904232
						429.0962099	0.304231626
						430.2623907	0.300222717
						430.728863	0.297550111
						431.6618076	0.293541203
						432.5947522	0.288195991
						433.0612245	0.286859688
						433.9941691	0.28285078
						435.1603499	0.278841871
						437.9591837	0.274832962
						438.1924198	0.274832962
						439.3586006	0.280178174
						439.8250729	0.280178174
						440.9912536	0.280178174
						441.4577259	0.280178174
						441.4577259	0.281514477
						442.3906706	0.286859688
						443.3236152	0.288195991
						444.0233236	0.290868597
						444.7230321	0.2922049
						446.122449	0.294877506
						446.8221574	0.297550111
						447.2886297	0.300222717
						449.154519	0.306904232
						450.0874636	0.31091314
						450.787172	0.313585746
						451.9533528	0.317594655
						452.6530612	0.320267261
						453.1195335	0.324276169
						454.0524781	0.329621381
						455.2186589	0.33363029
						456.1516035	0.337639198
						457.0845481	0.340311804
						458.0174927	0.34298441
						459.4169096	0.344320713
						460.3498542	0.346993318
						461.0495627	0.349665924
						461.9825073	0.35233853
						462.9154519	0.356347439
						463.8483965	0.359020045
						464.7813411	0.363028953
						465.7142857	0.368374165
						466.6472303	0.373719376
						467.5801749	0.377728285
						468.5131195	0.380400891
						469.4460641	0.3844098
						470.845481	0.385746102
						471.7784257	0.387082405
						472.9446064	0.388418708
						473.6443149	0.387082405
						475.2769679	0.381737194
						476.2099125	0.377728285
						476.6763848	0.375055679
						477.1428571	0.372383073
						477.3760933	0.371046771
						478.0758017	0.367037862
						478.5422741	0.360356347
						479.2419825	0.355011136
						479.941691	0.35233853
						480.4081633	0.349665924
						480.6413994	0.346993318
						481.1078717	0.344320713
						481.3411079	0.340311804
						481.8075802	0.337639198
						482.2740525	0.334966592
						482.7405248	0.329621381
						483.2069971	0.325612472
						483.6734694	0.320267261
						484.3731778	0.316258352
						485.0728863	0.308240535
						485.5393586	0.300222717
						486.0058309	0.294877506
						486.2390671	0.288195991
						486.2390671	0.285523385
						486.2390671	0.281514477
						486.9387755	0.274832962
						487.1720117	0.266815145
						487.4052478	0.261469933
						487.8717201	0.254788419
						488.5714286	0.246770601
						488.8046647	0.24142539
						489.271137	0.234743875
						490.2040816	0.226726058
						490.6705539	0.220044543
						491.1370262	0.213363029
						491.3702624	0.205345212
						491.8367347	0.195991091
						492.0699708	0.19064588
						492.0699708	0.185300668
						492.0699708	0.177282851
						492.5364431	0.173273942
						493.0029155	0.169265033
						493.2361516	0.162583519
						493.7026239	0.155902004
						494.1690962	0.147884187
						494.6355685	0.142538976
						495.1020408	0.135857461
						495.335277	0.130512249
						496.0349854	0.125167038
						496.2682216	0.119821826
						496.7346939	0.115812918
						497.4344023	0.109131403
						497.6676385	0.103786192
						498.3673469	0.097104677
						498.6005831	0.091759465
						499.3002915	0.085077951
						499.3002915	0.079732739
						500	0.071714922
						500.2332362	0.06636971
						500.4664723	0.063697105
